,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
77,New York City,40.7308619,-73.9871558,Sprout Home,40.71596880912932,-73.96487273548834,Flower Shop
78,New York City,40.7308619,-73.9871558,Modo Yoga Williamsburg,40.71667272570606,-73.96311393945952,Yoga Studio
79,New York City,40.7308619,-73.9871558,Bryant Park,40.75402941783798,-73.98394128255757,Park
80,New York City,40.7308619,-73.9871558,Hunter's Point South Park,40.742631898404746,-73.96070122718811,Park
81,New York City,40.7308619,-73.9871558,Rough Trade,40.720781513188555,-73.95996893773646,Record Shop
82,New York City,40.7308619,-73.9871558,Bakeri,40.73426471796698,-73.95755265756051,Bakery
83,New York City,40.7308619,-73.9871558,Books Kinokuniya,40.75405320187223,-73.98464945969599,Bookstore
84,New York City,40.7308619,-73.9871558,I Love Kickboxing - 43rd Street,40.75059299999999,-73.9712061,Martial Arts Dojo
85,New York City,40.7308619,-73.9871558,Washington Market Park,40.71704598853704,-74.01109457015991,Playground
86,New York City,40.7308619,-73.9871558,Music Choice,40.75263233072513,-73.9945851381405,Music Venue
87,New York City,40.7308619,-73.9871558,Nitehawk Cinema,40.71618324295957,-73.96241962592575,Movie Theater
88,New York City,40.7308619,-73.9871558,National Sawdust,40.71896106836158,-73.96112175478427,Concert Hall
89,New York City,40.7308619,-73.9871558,Cafe Mogador,40.719788142286404,-73.96006649513042,Moroccan Restaurant
90,New York City,40.7308619,-73.9871558,Gagosian Gallery,40.74949263854115,-74.00604977829569,Art Gallery
91,New York City,40.7308619,-73.9871558,Equinox East 44th Street,40.752687,-73.975323,Gym
92,New York City,40.7308619,-73.9871558,The Bar Room at Temple Court,40.7114477287544,-74.00680157032005,Hotel Bar
93,New York City,40.7308619,-73.9871558,Last Rites Tattoo Theatre and Art Gallery,40.75528497842054,-73.99282094351608,Art Gallery
94,New York City,40.7308619,-73.9871558,THE BEEKMAN - A Thompson Hotel,40.71113796121251,-74.00679498910904,Hotel
95,New York City,40.7308619,-73.9871558,Hotel Delmano,40.71977374527582,-73.95786932270192,Cocktail Bar
96,New York City,40.7308619,-73.9871558,New Amsterdam Theater,40.755844024448116,-73.98832119495094,Theater
97,New York City,40.7308619,-73.9871558,Brooklyn Bridge,40.70596749893083,-73.99670720100403,Bridge
98,New York City,40.7308619,-73.9871558,Maison Premiere,40.71423915017924,-73.96151182840691,Seafood Restaurant
99,New York City,40.7308619,-73.9871558,Los Tacos No. 1,40.75713361630251,-73.98753586979832,Taco Place
100,Chicago,41.8755616,-87.6244212,Auditorium Theatre,41.87605807115569,-87.62530297973589,Theater
101,Chicago,41.8755616,-87.6244212,Grant Park,41.87340686476253,-87.62074697730398,Park
102,Chicago,41.8755616,-87.6244212,Symphony Center (Chicago Symphony Orchestra),41.87927535633318,-87.62468041570357,Concert Hall
103,Chicago,41.8755616,-87.6244212,The Art Institute of Chicago,41.87966515625114,-87.62362960376726,Art Museum
104,Chicago,41.8755616,-87.6244212,The Peninsula,41.87865680433235,-87.62984111534422,Hotel
105,Chicago,41.8755616,-87.6244212,Chicago Athletic Association,41.8816255,-87.6249418,Hotel
106,Chicago,41.8755616,-87.6244212,Millennium Park,41.88269349036099,-87.62344161192892,Park
107,Chicago,41.8755616,-87.6244212,Jay Pritzker Pavilion,41.882614176795556,-87.62178182601929,Amphitheater
108,Chicago,41.8755616,-87.6244212,Jazz Showcase,41.87164953224227,-87.6287068370349,Jazz Club
